id,name,road,startLat,startLng,endLat,endLng,lengthM,widthM,heightM,lanes,diff
t1,광치터널,일반국도31호선,38.14672,128.093106,38.144841,128.086935,570,8,6.1,2,4
t2,문재터널,일반국도42호선,37.424504,128.25351,37.426547,128.260232,620,7,6.1,2,4
t3,추곡터널,일반국도46호선,38.029519,127.84779,38.03435,127.855799,860,8,6.1,2,5
t4,양구터널,일반국도46호선,38.067707,128.048869,38.065682,128.048319,237,8.6,6.1,2,2
t5,느랏재터널,일반국도56호선,37.892865,127.820558,37.886867,127.819003,660,11.3,6.1,2,4
t6,가락재터널,일반국도56호선,37.844285,127.869846,37.841961,127.876173,590,11.3,6.1,2,4
t7,솔치재터널,일반국도56호선,37.728985,128.120685,37.727013,128.126488,540,9.2,6.7,2,3
t8,말고개터널,일반국도5호선,38.007133,127.632387,38.012999,127.632221,637,9.1,6.8,2,3
t9,화천터널,일반국도5호선,38.104279,127.699442,38.105599,127.692585,620,9,6.8,2,3
t10,수인터널,일반국도46호선,38.024647,127.890393,38.032876,127.922151,2925,10.3,7.4,2,4
t11,웅진터널,일반국도46호선,38.034603,127.928685,38.038462,127.941925,1225,9.3,7.4,2,3
t12,웅진1터널,일반국도46호선,38.039191,127.9429,38.042339,127.944882,385,10.3,7.4,2,1
t13,웅진2터널,일반국도46호선,38.051934,127.948201,38.053529,127.954841,590,10,7.4,2,2
t14,공리터널,일반국도46호선,38.053991,127.956978,38.057421,127.97454,1650,10.3,7.4,2,4
t15,배후령터널,일반국도46호선,37.971035,127.782361,38.013502,127.800616,5057,11,8.9,2,4
t16,전재터널,일반국도42호선,37.420143,128.120014,37.416287,128.128307,860,13,7.4,3,2
t17,안흥터널,일반국도42호선,37.408471,128.139817,37.407531,128.143869,375,9.3,6.8,2,2
t18,황강터널,일반국도31호선,38.095501,128.01896,38.093479,128.016855,285,9.3,6.7,2,2
t19,오미재터널,일반국도31호선,37.87817,128.259665,37.884716,128.264653,870,9,6.6,2,5
t20,의암터널(신),일반국도46호선,37.824379,127.684863,37.823389,127.687872,306.6,8.5,6.8,2,2
t21,며느리고개터널(상),일반국도44호선,37.63843,127.795682,37.640407,127.801708,542,8.6,6.6,2,4
t22,횡성터널(상),일반국도5호선,37.492797,127.965378,37.497283,127.96329,544,8.6,6.7,2,3
t23,삼마치터널(상),일반국도5호선,37.594523,127.900121,37.601723,127.900004,780,8.6,6.7,2,4
t24,인제터널(상),일반국도44호선,38.044589,128.158626,38.052411,128.161053,922,8.6,6.6,2,5
t25,장전터널(상),일반국도5호선,37.667341,127.87859,37.671783,127.8758,546,8.6,6.7,2,3
t26,철정터널(상),일반국도44호선,37.793186,127.986306,37.796047,127.987451,326,8.8,6.7,2,2
t27,흥업터널(상),일반국도42호선,37.296571,127.903754,37.298157,127.902611,201,8.8,6.7,2,2
t28,운계터널(상),일반국도19호선,37.209727,127.892995,37.213926,127.892278,494,9,6.8,2,3
t29,매지터널(상),일반국도19호선,37.237092,127.898025,37.242812,127.899395,690,9,6.7,2,4
